XS (b),dXS (b),Ea (eV),dEa (eV)
1.831600000000000e-01,2.939887398115785e-02,6.244592502705686e+06,1.248918500541137e+04
1.796200000000000e-01,2.880193772370186e-02,6.273625702815367e+06,1.254725140563073e+04
1.848000000000000e-01,2.964973227535115e-02,6.291632862746443e+06,1.258326572549289e+04
1.908900000000000e-01,3.060912605351548e-02,6.305640980365862e+06,1.261128196073173e+04
2.038600000000000e-01,3.268707282336551e-02,6.320666062856124e+06,1.264133212571225e+04
2.229300000000000e-01,3.577388563519484e-02,6.342672265098858e+06,1.268534453019772e+04
2.270600000000000e-01,3.640878789742938e-02,6.348682298094962e+06,1.269736459618992e+04
2.286600000000000e-01,3.666423498942805e-02,6.372707137374556e+06,1.274541427474911e+04
2.081600000000000e-01,3.337884197152442e-02,6.393726960156097e+06,1.278745392031219e+04
2.157400000000000e-01,3.461997167185438e-02,6.393726960156097e+06,1.278745392031219e+04
1.770600000000000e-01,2.839324279049506e-02,6.419747497415313e+06,1.283949499483063e+04
1.711200000000000e-01,2.744298621943319e-02,6.431752270702697e+06,1.286350454140539e+04
1.490200000000000e-01,2.389953527246921e-02,6.492800748362874e+06,1.298560149672575e+04
1.469600000000000e-01,2.357142093637972e-02,6.527836335116247e+06,1.305567267023250e+04
1.508300000000000e-01,2.419983545068024e-02,6.633906535780320e+06,1.326781307156064e+04
1.681300000000000e-01,2.698186688574384e-02,6.733981996153114e+06,1.346796399230623e+04
1.889900000000000e-01,3.033349360953994e-02,6.774010651031749e+06,1.354802130206350e+04
2.114200000000000e-01,3.393240869493352e-02,6.804030230602623e+06,1.360806046120525e+04
2.484800000000000e-01,3.987285726205234e-02,6.834049810173496e+06,1.366809962034699e+04
2.828000000000000e-01,4.537406642565773e-02,6.864077036096781e+06,1.372815407219356e+04
2.818900000000000e-01,4.523955001721392e-02,6.893094943501637e+06,1.378618988700327e+04
2.543100000000000e-01,4.082974342510616e-02,6.924123841590941e+06,1.384824768318188e+04
2.446200000000000e-01,3.929449168318634e-02,6.954143421161814e+06,1.390828684232363e+04
2.551300000000000e-01,4.098904503205705e-02,6.993170403874432e+06,1.398634080774887e+04
2.627500000000000e-01,4.222892018510537e-02,7.023189983445305e+06,1.404637996689061e+04
2.588000000000000e-01,4.161246044155524e-02,7.051213865036556e+06,1.410242773007311e+04
2.437300000000000e-01,3.922339238566700e-02,7.075223411611325e+06,1.415044682322265e+04
2.379900000000000e-01,3.831484107444529e-02,7.083236788939464e+06,1.416647357787893e+04
2.417500000000000e-01,3.892495343606721e-02,7.094232243708419e+06,1.418846448741684e+04
2.430000000000000e-01,3.913269732589360e-02,7.103239646850163e+06,1.420647929370033e+04
2.584600000000000e-01,4.161309689220451e-02,7.114250394323942e+06,1.422850078864789e+04
2.812000000000000e-01,4.525265256313712e-02,7.122256125299670e+06,1.424451225059934e+04
3.086100000000000e-01,4.964337097498517e-02,7.133266872773449e+06,1.426653374554690e+04
2.552700000000000e-01,4.113488891731689e-02,7.144269973894816e+06,1.428853994778963e+04
2.410500000000000e-01,3.888054814428418e-02,7.155273075016183e+06,1.431054615003237e+04
2.365300000000000e-01,3.817105299883669e-02,7.163286452344322e+06,1.432657290468864e+04
2.346900000000000e-01,3.789246548009248e-02,7.173295527652084e+06,1.434659105530417e+04
